conditions,Similarity,Result
"(35, 1, 15)",1.0,0.0072
"(34, 1, 15)",2.0,0.004
"(35, 1, 16)",2.0,0.0214
"(35, 2, 13)",2.0,"[0.012, 0.0346]"
"(36, 1, 15)",2.0,0.0121
"(33, 1, 15)",3.0,0.0039
"(34, 1, 16)",3.0,0.0199
