conditions,Similarity,Result
"(30, 12, 3)",0.0,"[0.0466, 0.0497]"
"(29, 12, 3)",1.0,"[0.0466, 0.0497]"
"(30, 11, 3)",1.0,"[0.0468, 0.0499]"
"(30, 12, 2)",1.0,"[0.0336, 0.0377]"
"(30, 12, 4)",1.0,"[0.0496, 0.0512]"
"(30, 13, 3)",1.0,"[0.0472, 0.0503]"
"(31, 12, 3)",1.0,0.038
