conditions,Similarity,Result
"(321, 10, 5)",99685.0,1.0
"(320, 10, 5)",99686.0,1.0
"(319, 10, 5)",99687.0,1.0
"(317, 10, 5)",99689.0,1.0
"(314, 10, 5)",99692.0,1.0
"(308, 10, 5)",99698.0,1.0
"(305, 10, 5)",99701.0,1.0
