conditions,Similarity,Result
"(40, 19, 4)",0.0,0.0025
"(39, 19, 4)",1.0,"[0.0165, 0.0357]"
"(40, 18, 4)",1.0,0.0067
"(40, 19, 3)",1.0,0.0033
"(40, 19, 5)",1.0,0.0015
"(40, 20, 4)",1.0,0.007
"(41, 19, 4)",1.0,0.0026
