Level,Cluster Id
7,38936
6,52832
6,52828
6,52717
7,52616
7,52615
6,52610
7,52609
7,52608
7,52501
7,52500
7,52391
7,52390
6,66746
7,66745
7,66744
7,66634
6,66520
7,66410
6,66405
7,66404
7,66304
7,66303
6,66298
