Level,Cluster Id
7,41664
6,41659
7,41557
6,41552
7,41551
7,55481
7,55479
6,55139
7,55137
6,69493
7,69492
7,69491
6,69368
6,69364
7,69363
6,69271
7,69169
6,69164
7,69163
7,69162
7,69068
6,69061
